Id,Country,City,Latitude,Longitude,Population,IdProche,NCTNumber,Disease,Condition,Intervention,Phases,Enrollment,PrincipalInvestigationLocation
1,united states of america,new york,40.7141667,-74.0063889,8107916,1,NCT02369926,Multiple Sclerosis,RRMS,Other,Phase 2,20,Icahn School of Medicine at Mount Sinai
2,italy,sassari,40.727222,8.560278,119187,0,NCT02010398,Multiple Sclerosis,All,Other,Phase 1-Phase 2,45,Department of Biomedical Sciences- University of Sassari
3,italy,sassari,40.727222,8.560278,119187,0,NCT02010398,Multiple Sclerosis,All,Other,Phase 1-Phase 2,45,Department of Clinical and Experimental Medicine - University of Sassari
4,italy,sassari,40.727222,8.560278,119187,0,NCT02010398,Multiple Sclerosis,All,Other,Phase 1-Phase 2,45,Department of Surgery - Microsurgery and Medical-Surgical Specialties
5,united states of america,baltimore,39.2902778,-76.6125,610892,5,NCT02346734,Multiple Sclerosis,All,Device,N/A,170,University of Maryland
6,brazil,sao paulo,-23.473293,-46.665803,10021437,6,NCT02489877,Multiple Sclerosis,All,Other,N/A,84,Faculdade de Ciências Médicas da Santa Casa de São Paulo
7,italy,milan,45.466667,9.2,1156903,7,NCT02364505,Multiple Sclerosis,All,Behavioral,N/A,120,Fondazione Don Carlo Gnocchi Onlus
8,united states of america,salt lake city,40.7608333,-111.8902778,178026,0,NCT01737372,Multiple Sclerosis,All,Other,Phase 1,45,Rocky Mountain MS Clinic
9,finland,turku,60.45,22.283333,175944,0,NCT02403570,Multiple Sclerosis,RRMS,Other,N/A,80,Division of Clinical Neurosciences - Turku University Hospital
10,united states of america,kenmore,47.7575,-122.2427778,19284,73,NCT01711255,Multiple Sclerosis,All,Other,N/A,100,Bastyr University Clinical Research Center
11,germany,rostock,54.083333,12.133333,196833,0,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,University of Rostock - Albrecht-Kossel-Institute for Neuroregeneration
12,germany,aachen,50.770833,6.105278,251104,16,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinikum Aachen - Klink für Neurologie
13,germany,asbach,49.816667,7.283333,171,0,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Kamillusklinik - Abtl. Neurologie
14,germany,berlin,52.516667,13.4,3398362,14,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Berlin Charite - Klinisches und experimentelles Forschungszentrum für Multiple Sklerose
15,germany,berlin,52.516667,13.4,3398362,15,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Jüdisches Krankenhaus Berlin - Abt. Neurologie
16,germany,dusseldorf,51.216667,6.766667,577139,16,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,HHU Düsseldorf - Klinik und Poliklinik für Neurologie
