Id,Country,City,Latitude,Longitude,NCTNumber,Disease,Condition,Intervention,Phases,Enrollment,PrincipalInvestigationLocation
1,united states of america,new york,40.7141667,-74.0063889,NCT02369926,Multiple Sclerosis,RRMS,Other,Phase 2,20,Icahn School of Medicine at Mount Sinai
2,italy,sassari,40.727222,8.560278,NCT02010398,Multiple Sclerosis,All,Other,Phase 1-Phase 2,45,Department of Biomedical Sciences- University of Sassari
3,italy,sassari,40.727222,8.560278,NCT02010398,Multiple Sclerosis,All,Other,Phase 1-Phase 2,45,Department of Clinical and Experimental Medicine - University of Sassari
4,italy,sassari,40.727222,8.560278,NCT02010398,Multiple Sclerosis,All,Other,Phase 1-Phase 2,45,Department of Surgery - Microsurgery and Medical-Surgical Specialties
5,united states of america,baltimore,39.2902778,-76.6125,NCT02346734,Multiple Sclerosis,All,Device,N/A,170,University of Maryland
6,brazil,sao paulo,-23.473293,-46.665803,NCT02489877,Multiple Sclerosis,All,Other,N/A,84,Faculdade de Ciências Médicas da Santa Casa de São Paulo
7,italy,milan,45.466667,9.2,NCT02364505,Multiple Sclerosis,All,Behavioral,N/A,120,Fondazione Don Carlo Gnocchi Onlus
8,united states of america,salt lake city,40.7608333,-111.8902778,NCT01737372,Multiple Sclerosis,All,Other,Phase 1,45,Rocky Mountain MS Clinic
9,finland,turku,60.45,22.283333,NCT02403570,Multiple Sclerosis,RRMS,Other,N/A,80,Division of Clinical Neurosciences - Turku University Hospital
10,united states of america,kenmore,47.7575,-122.2427778,NCT01711255,Multiple Sclerosis,All,Other,N/A,100,Bastyr University Clinical Research Center
11,germany,rostock,54.083333,12.133333,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,University of Rostock - Albrecht-Kossel-Institute for Neuroregeneration
12,germany,aachen,50.770833,6.105278,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinikum Aachen - Klink für Neurologie
13,germany,asbach,49.816667,7.283333,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Kamillusklinik - Abtl. Neurologie
14,germany,berlin,52.516667,13.4,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Berlin Charite - Klinisches und experimentelles Forschungszentrum für Multiple Sklerose
15,germany,berlin,52.516667,13.4,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Jüdisches Krankenhaus Berlin - Abt. Neurologie
16,germany,dusseldorf,51.216667,6.766667,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,HHU Düsseldorf - Klinik und Poliklinik für Neurologie
17,germany,essen,51.45,7.016667,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Alfried Krupp Krankenhaus Rüttenscheid - Abt. Neurologie
18,germany,giessen,50.583333,8.65,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinikum Gießen und Marburg - Neurovaskuläre AG
19,germany,isselburg,51.833333,6.466667,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Augustahospital AnholT GmbH - Abt. Neurologie
20,germany,munster,51.966667,7.633333,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universität Münster - Klinik & Poliklinik für Neurologie
21,germany,trier,49.75,6.633333,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Krankenhaus der Bamherzigen Brüder Trier - Neurologische Klinik
22,germany,ulm,48.4,10,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinikum Ulm - Klinik für Neurologie
23,germany,wurzburg,49.787778,9.936111,NCT01271699,Multiple Sclerosis,All,Other,N/A,250,Universitätsklinik Würzburg - Neurologische Klinik
24,france,montpellier,43.61092,3.87723,NCT02580669,Multiple Sclerosis,Progressive Multiple Sclerosis,Other,N/A,66,Hopital Gui de Chauliac -Service de Neurologie
25,united kingdom,bristol,51.45,-2.583333,NCT01815632,Multiple Sclerosis,Progressive Multiple Sclerosis,Stem Cells,Phase 2,80,University of Bristol & North Bristol NHS Trust
26,united states of america,los angeles,34.0522222,-118.2427778,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,University of California - Los Angeles
27,united states of america,aurora,39.7294444,-104.8313889,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,The University of Colorado Denver
28,united states of america,albuquerque,35.0844444,-106.6505556,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,The University of New Mexico
29,united states of america,philadelphia,39.9522222,-75.1641667,NCT01466114,Multiple Sclerosis,RRMS,Drug,Phase 2,64,The University of Pennsylvania
30,spain,barcelona,41.398371,2.1741,NCT02495766,Multiple Sclerosis,RRMS,Drug,Phase 1-Phase 2,8,Hospital Vall Hebron
31,germany,muenster,51.966667,7.633333,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,University Hospital Muenster
32,germany,bonn,50.733333,7.1,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Neurologisches Studienzentrum Dr. Schmidt/Dr. Neudecker/ Dr. Viehbahn/Dr. Kronenberger
33,germany,frankfurt,50.116667,8.683333,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Neurologische Gemeinschaftspraxis im Bienenkorbhaus
34,germany,heidelberg,49.416667,8.7,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Neurologische Univ.-Klinik
35,germany,mainz,50,8.271111,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,Klinik und Poliklinik für Neurologie - Universitätsklinikum Mainz
36,germany,osnabruck,52.266667,8.05,NCT02461069,Multiple Sclerosis,RRMS,Drug,Phase 4,75,MVZ-Neurologie Klinikum Osnabrück GmbH
